2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
751-760,751-800,Riga Technical University,LV,Latvia,M,CO,VH,5,A,11.4,601+,28.2,343,19.7,673,2.9,701+,16.4,644,59.9,248,1.4,701+,18.5,452,15.2,608=,-
751-760,601-650,Technische Universität Braunschweig,DE,Germany,L,CO,VH,5,A,11.0,601+,14.5,561,58.8,244,6.3,701+,,,26.8,448,20.2,542,12,701+,4.8,701+,-
751-760,651-700,Universidad Externado de Colombia ,CO,Colombia,L,FO,MD,5,B,14.0,601+,43.7,209,31.2,506,1.1,701+,11.3,701+,1.6,701+,1.0,701+,18.8,445,1,701+,-
751-760,571-580,Université du Québec,CA,Canada,XL,FC,HI,4,A,17.3,516,11.8,601+,1.6,701+,16.3,610,37.1,435,11.6,683,19.7,545,14.8,563,27.3,478=,-
751-760,1001-1200,University of Mumbai,IN,India,M,FC,VH,5,A,8.1,601+,25.0,383,2.4,701+,25.0,488,2.0,701+,3.5,701+,1.1,701+,70.5,72,10.5,663=,-
751-760,561-570,University of Ulsan ,KR,South Korea,L,FC,VH,3,B,6.9,601+,2.5,601+,57.8,249,34.3,399,2.5,701+,3.4,701+,1.8,701+,6.9,701+,1.3,701+,-
751-760,801-1000,University of Zagreb,HR,Croatia,XL,FC,VH,5,A,16.2,539,4.7,601+,23.8,597,4.2,701+,1.5,701+,2.7,701+,74.2,176,44.8,158,19.2,549=,-
751-760,601-650,Wayne State University,US,United States,L,FC,VH,5,A,7.8,601+,3.2,601+,64.7,214,12.3,693,12.5,701+,4.8,701+,41.9,364,15.4,545,6.4,701+,-
761-770,801-1000,Hacettepe University ,TR,Turkey,L,FC,VH,4,A,20.4,427,22.7,419,10.1,701+,6.0,701+,3.2,701+,3.4,701+,27.0,483,13.8,619,31.6,425=,-
761-770,701-750,King Khalid University,SA,Saudi Arabia,XL,FC,HI,3,A,12.8,601+,5.1,601+,43.0,366,2.2,701+,100.0,31,10.2,701+,7.8,701+,7.8,701+,1.1,701+,-
761-770,751-800,Philipps-Universität Marburg ,DE,Germany,L,FC,HI,5,A,14.0,601+,7.5,601+,5.5,701+,31.1,428,16.8,638,22.6,504,16.2,583,9.1,701+,6.1,701+,-
761-770,461=,Universidad de Belgrano,AR,Argentina,M,CO,MD,4,B,9.9,601+,10.7,601+,88.1,92,1.0,701+,5.7,701+,26.3,463,1.0,701+,8.7,701+,,,-
761-770,601-650,Universität Rostock,DE,Germany,L,FC,HI,5,A,7.7,601+,3.2,601+,79.4,140,5.8,701+,,,14.7,626,47.6,329,9.2,701+,2.8,701+,-
761-770,701-750,Universiti Tenaga Nasional (UNITEN),MY,Malaysia,S,SP,,3,C,7.3,601+,13.8,588,49.1,317,14.6,644,5.7,701+,50.2,291,3.0,701+,10.4,701+,1.8,701+,-
761-770,701-750,Virginia Commonwealth University,US,United States,L,FC,VH,5,A,6.7,601+,16.5,521,43.1,365,13.7,662,15.9,653,3.2,701+,39.2,383,12.4,701+,12,642=,-
771-780,801-1000,Chandigarh University,IN,India,L,FO,VH,2,B,11.5,601+,43.4,212,21.1,642,1.3,701+,34.1,463,15.1,619,1.1,701+,8.1,701+,2.8,701+,-
771-780,651-700,Comenius University Bratislava,SK,Slovakia,L,FC,HI,5,A,14.1,601+,5.2,601+,55.8,268,3.4,701+,4.1,701+,30.5,419,13.0,625,32.8,233,4.1,701+,-
771-780,801-1000,Rutgers University–Newark,US,United States,M,CO,VH,4,A,11.1,601+,5.2,601+,15.5,701+,19.3,564,26.3,519,46.8,311,2.2,701+,28.6,280,15.4,603=,-
771-780,651-700,Sechenov University,RU,Russia,L,SP,,4,A,5.8,601+,4.4,601+,59.7,239,3.4,701+,9.6,701+,66.0,228,46.5,334,4.7,701+,1.1,701+,-
771-780,801-1000,Shoolini University of Biotechnology and Management Sciences,IN,India,S,CO,VH,2,B,8.3,601+,12.6,601+,7.3,701+,42.4,319,24.2,545,1.7,701+,2.1,701+,8,701+,1,701+,-
771-780,601-650,Universidad Anáhuac México,MX,Mexico,L,CO,MD,4,B,13.4,601+,24.1,399,45.6,344,1.1,701+,6.7,701+,3.7,701+,1.0,701+,49.5,136,1.2,701+,-
771-780,494=,Universidad ORT Uruguay,UY,Uruguay,S,FO,HI,4,B,11.8,601+,11.8,601+,82.6,126,1.2,701+,17.9,617,1.9,701+,1.0,701+,13,662,1,701+,-
771-780,801-1000,Universität Duisburg-Essen,DE,Germany,XL,FC,VH,4,A,11.5,601+,5.2,601+,11.4,701+,11.8,701+,36.4,443,42.2,334,54.9,286,11.5,701+,9.2,685=,-
771-780,801-1000,Université de Nantes,FR,France,XL,CO,VH,5,A,10.3,601+,2.7,601+,7.1,701+,23.6,505,17.1,625,13.9,642,77.3,161,6.7,701+,15.6,601=,-
771-780,801-1000,University at Albany SUNY,US,United States,L,CO,VH,5,A,8.6,601+,4.5,601+,5.3,701+,41.8,324,4.2,701+,6.0,701+,23.2,518,9.4,701+,23.9,504=,-
771-780,801-1000,University of Brighton,UK,United Kingdom,L,CO,VH,3,A,8.4,601+,7.0,601+,8.9,701+,15.8,622,56.2,330,54.2,270,27.6,473,11.2,701+,9.1,687,-
781-790,1201-1400,University of Northern British Columbia,CA,Canada,S,CO,VH,,,3.8,601+,8.5,601+,100.0,1,1.1,701+,,,,,40.3,374,7.3,701+,,,-
781-790,801-1000,China University of Mining and Technology,CN,China (Mainland),L,CO,VH,3,A,3.7,601+,1.6,601+,9.5,701+,60.5,202,,,,,2.9,701+,9,701+,3,701+,-
781-790,751-800,Keele University ,UK,United Kingdom,M,FC,VH,4,A,6.7,601+,4.3,601+,15.2,701+,27.1,462,53.1,344,33.2,391,11.6,642,10.5,701+,3.1,701+,-
781-790,701-750,Khoja Akhmet Yassawi International Kazakh-Turkish University,KZ,Kazakhstan,M,FC,MD,3,A,14.6,593,20.9,443,53.0,294,1.2,701+,8.5,701+,15.5,611,1.0,701+,11.6,701+,4.4,701+,-
781-790,801-1000,Nanjing Agricultural University,CN,China (Mainland),L,CO,VH,3,A,5.5,601+,1.9,601+,7.2,701+,58.8,215,,,1.5,701+,6.5,701+,5.3,701+,2.5,701+,-
781-790,801-1000,National Institute of Technology Tiruchirappalli,IN,India,M,FO,VH,4,A,3.7,601+,2.7,601+,11.8,701+,58.9,214,,,2.1,701+,1.5,701+,7.7,701+,1.1,701+,-
781-790,751-800,Syracuse University,US,United States,L,CO,VH,5,B,13.6,601+,9.6,601+,11.8,701+,13.7,661,4.8,701+,44.1,328,11.1,650,30.2,256,23,514=,-
781-790,494=,The Catholic University of Korea ,KR,South Korea,M,FC,VH,3,B,3.6,601+,2.7,601+,99.0,37,12.0,700,3.3,701+,13.0,662,1.0,701+,7.2,701+,1.1,701+,-
781-790,801-1000,Universiti Malaysia Pahang,MY,Malaysia,M,SP,,2,A,10.1,601+,7.1,601+,15.2,701+,28.3,450,23.6,558,9.7,701+,5.9,701+,9.9,701+,28.4,463=,-
781-790,467=,University of Alaska Fairbanks,US,United States,S,CO,VH,,A,3.1,601+,3.2,601+,99.6,30,13.4,670,6.7,701+,3.1,701+,4.6,701+,8.4,701+,,,-
791-800,701-750,American University,US,United States,M,CO,HI,5,B,16.2,542,22.8,418,30.0,522,4.1,701+,3.0,701+,15.6,610,1.2,701+,33.3,231,3,701+,-
791-800,801-1000,Clarkson University,US,United States,S,CO,VH,5,B,1.6,601+,2.4,601+,16.9,701+,39.0,351,64.7,297,8.6,701+,2.6,701+,10.7,701+,1.2,701+,-
791-800,801-1000,Diponegoro University,ID,Indonesia,XL,FC,HI,4,A,17.2,517,33.9,289,15.7,701+,1.4,701+,22.8,566,2.8,701+,1.0,701+,15,558,13.1,634,-
791-800,751-800,Instituto Tecnológico de Buenos Aires (ITBA),AR,Argentina,S,FO,HI,4,B,9.0,601+,38.8,251,35.2,449,1.4,701+,26.7,512,13.5,652,1.0,701+,6.6,701+,,,-
791-800,751-800,Lanzhou University,CN,China (Mainland),XL,CO,VH,5,A,8.3,601+,2.3,601+,26.3,566,38.1,366,2.5,701+,1.6,701+,15.3,594,6.2,701+,9.8,669=,-
791-800,651-700,Plekhanov Russian University of Economics,RU,Russia,L,SP,,5,A,12.6,601+,14.3,574,49.6,312,2.8,701+,6.0,701+,21.2,530,5.8,701+,30.1,258,7.5,701+,-
791-800,701-750,Universidad de La Sabana,CO,Colombia,M,FC,MD,3,B,19.4,459,39.1,242,15.4,701+,2.0,701+,6.7,701+,3.3,701+,1.0,701+,11.3,701+,3.7,701+,-
791-800,801-1000,University of Brescia,IT,Italy,M,FO,VH,3,A,3.9,601+,2.1,601+,6.8,701+,50.4,261,2.6,701+,6.9,701+,9.0,698,8.8,701+,24.8,490=,-
791-800,801-1000,University of Engineering & Technology (UET) Lahore,PK,Pakistan,L,FO,VH,4,A,8.9,601+,44.8,197,16.4,701+,5.7,701+,1.1,701+,3.6,701+,2.1,701+,16.8,501,27.3,478=,-
791-800,801-1000,University of Patras,GR,Greece,L,FC,HI,4,A,12.1,601+,17.7,496,2.7,701+,24.0,501,1.5,701+,5.1,701+,12.4,631,8.4,701+,41.1,358=,-
801-850,,Al-Ahliyya Amman University,JO,Jordan,M,FO,HI,3,B,6.8,601+,5.9,601+,9.3,701+,2.3,701+,72.9,262,100.0,25,1.0,701+,10.4,701+,1.6,701+,-
801-850,561-570,Almaty Technological University,KZ,Kazakhstan,M,FO,HI,4,A,5.1,601+,3.3,601+,92.1,75,1.0,701+,26.0,523,5.2,701+,1.0,701+,11.8,701+,1,701+,-
801-850,1001-1200,Auburn University,US,United States,L,CO,VH,4,A,7.2,601+,8.5,601+,7.4,701+,19.0,568,23.9,551,7.8,701+,14.3,610,17.4,479,53.4,288=,-
801-850,801-1000,Australian Catholic University,AU,Australia,L,CO,VH,3,A,8.3,601+,10.5,601+,4.7,701+,13.5,669,70.2,277,43.2,333,3.2,701+,8.1,701+,4.7,701+,-
801-850,1001-1200,Babes-Bolyai University,RO,Romania,XL,CO,VH,5,A,16.4,533,13.7,591,4.7,701+,4.2,701+,7.7,701+,4.0,701+,42.6,358,23.1,362,48.4,316=,-
801-850,801-1000,Bangladesh University of Engineering and Technology,BD,Bangladesh,M,SP,,4,A,15.6,561,34.8,278,16.9,701+,12.0,701+,,,1.0,701+,1.2,701+,7,701+,3.4,701+,-
801-850,751-800,Beijing University of Technology,CN,China (Mainland),L,CO,VH,4,A,8.3,601+,3.5,601+,42.9,367,26.6,466,4.8,701+,2.9,701+,1.7,701+,8.9,701+,2.9,701+,-
801-850,751-800,Belarusian National Technical University (BNTU),BY,Belarus,L,SP,,5,A,13.1,601+,29.8,327,45.6,345,1.0,701+,2.2,701+,12.6,670,1.0,701+,7.1,701+,,,-
801-850,801-1000,Charles Sturt University ,AU,Australia,L,CO,VH,3,A,5.0,601+,6.0,601+,7.0,701+,8.6,701+,31.7,476,74.0,190,10.5,663,10.3,701+,53.4,288=,-
801-850,651-700,China University of Geosciences,CN,China (Mainland),L,FO,VH,3,A,5.3,601+,1.4,601+,55.9,267,25.3,480,1.6,701+,2.9,701+,26.1,491,5.3,701+,7,701+,-
801-850,751-800,Clark University,US,United States,S,CO,VH,5,B,3.0,601+,5.3,601+,23.4,610,18.3,578,14.2,682,72.6,198,1.2,701+,14.9,561,33.2,416=,-
801-850,801-1000,De Montfort University,UK,United Kingdom,L,CO,HI,5,A,5.5,601+,4.8,601+,5.8,701+,7.6,701+,75.3,250,97.5,67,8.8,701+,10.5,701+,4.9,701+,-
801-850,801-1000,Edinburgh Napier University,UK,United Kingdom,L,CO,HI,3,A,4.9,601+,4.2,601+,4.1,701+,10.4,701+,73.8,259,87.9,130,5.9,701+,10.8,701+,2.9,701+,-
801-850,601-650,Immanuel Kant Baltic Federal University,RU,Russia,M,CO,HI,4,A,8.1,601+,2.3,601+,75.5,164,1.8,701+,17.9,616,32.0,400,2.7,701+,6.3,701+,1.9,701+,-
801-850,601-650,Ivane Javakhishvili Tbilisi State University,GE,Georgia,L,FO,HI,5,A,9.7,601+,2.6,601+,76.0,158,1.2,701+,1.9,701+,3.5,701+,1.2,701+,43.4,166,1.1,701+,-
801-850,701-750,Jouf University,SA,Saudi Arabia,L,FC,HI,2,A,8.8,601+,5.3,601+,45.1,350,1.9,701+,100.0,27,2.8,701+,2.2,701+,8,701+,1,701+,-
801-850,801-1000,Kaunas University of Technology,LT,Lithuania,M,FO,VH,5,A,11.3,601+,21.8,430,31.5,499,6.8,701+,3.3,701+,24.1,486,16.9,575,8.4,701+,1.9,701+,-
801-850,651-700,Konkuk University ,KR,South Korea,L,FC,VH,4,B,9.4,601+,9.3,601+,59.0,241,13.8,660,7.7,701+,9.8,701+,2.8,701+,9.9,701+,2.3,701+,-
801-850,801-1000,Louisiana State University,US,United States,XL,CO,VH,5,A,9.7,601+,8.3,601+,7.1,701+,16.2,612,10.1,701+,4.1,701+,15.5,589,17.2,487,70.7,200,-
801-850,801-1000,Maynooth University,IE,Ireland,M,FO,VH,3,A,10.0,601+,9.2,601+,8.7,701+,12.6,684,89.4,187,15.6,608,4.7,701+,9,701+,4.7,701+,-
801-850,571-580,Nagasaki University,JP,Japan,M,FO,VH,4,A,6.9,601+,2.2,601+,84.2,113,6.2,701+,6.5,701+,4.2,701+,11.8,639,8.3,701+,2,701+,-
801-850,801-1000,Nanjing University of Aeronautics and Astronautics,CN,China (Mainland),XL,FO,VH,3,A,4.7,601+,2.6,601+,13.1,701+,47.3,287,5.7,701+,3.2,701+,4.5,701+,5.3,701+,1.5,701+,-
801-850,1001-1200,North-West University,ZA,South Africa,XL,CO,VH,2,A,7.1,601+,9.1,601+,5.2,701+,13.0,677,5.8,701+,2.4,701+,88.2,95,12.7,676,49.7,309=,-
801-850,521-530,Poznan University of Life Sciences,PL,Poland,M,FO,VH,5,A,5.8,601+,1.8,601+,98.0,46,5.2,701+,3.2,701+,5.4,701+,1.7,701+,8.2,701+,1.1,701+,-
801-850,801-1000,Ritsumeikan Asia Pacific University,JP,Japan,M,SP,,2,C,5.1,601+,9.4,601+,2.4,701+,2.6,701+,99.6,87,99.6,37,1.0,701+,7.8,701+,1,701+,-
801-850,1001-1200,Texas Tech University,US,United States,XL,FC,HI,5,A,11.0,601+,11.8,601+,5.0,701+,15.3,625,8.5,701+,7.1,701+,20.3,541,13.7,622,56.1,270,-
801-850,701-750,Tokyo University of Agriculture and Technology ,JP,Japan,M,FO,VH,4,A,13.6,601+,6.7,601+,13.3,701+,32.9,413,5.8,701+,9.5,701+,6.0,701+,7.8,701+,1.8,701+,-
801-850,751-800,Universidad de la República (Udelar),UY,Uruguay,XL,FC,HI,5,A,25.1,350,14.4,568,17.5,701+,1.6,701+,8.4,701+,2.5,701+,8.3,701+,22.5,368,4.1,701+,-
801-850,751-800,Universidad de San Andrés - UdeSA,AR,Argentina,S,SP,,3,B,6.8,601+,32.6,301,48.1,326,2.1,701+,8.0,701+,4.4,701+,1.0,701+,18,465,1,701+,-
801-850,601-650,Universidad Pontificia Bolivariana ,CO,Colombia,M,FO,VH,4,B,9.3,601+,15.4,537,69.9,185,1.6,701+,4.9,701+,2.1,701+,1.2,701+,18.2,461,3.3,701+,-
801-850,701-750,Universidad San Francisco de Quito (USFQ),EC,Ecuador,M,FC,HI,3,B,14.4,600,10.7,601+,36.1,439,2.3,701+,56.9,324,2.0,701+,1.5,701+,11,701+,7.8,701+,-
801-850,1001-1200,Universidad Técnica Federico Santa María (USM),CL,Chile,L,FO,VH,4,B,10.0,601+,50.6,166,3.7,701+,5.9,701+,15.8,654,1.9,701+,9.5,680,10.1,701+,7.9,701+,-
801-850,801-1000,Universidade de Brasília,BR,Brazil,XL,FC,HI,4,A,26.1,339,14.5,562,8.4,701+,4.2,701+,11.9,701+,1.6,701+,15.3,595,11.5,701+,9.4,683=,-
801-850,801-1000,Universidade Federal de Santa Catarina ,BR,Brazil,XL,FC,VH,4,A,19.6,453,4.4,601+,19.0,695,8.0,701+,4.4,701+,2.0,701+,18.0,560,8.2,701+,57.4,263=,-
801-850,801-1000,Universitas Brawijaya ,ID,Indonesia,XL,FC,HI,4,A,17.2,519,34.5,284,10.5,701+,1.4,701+,6.2,701+,1.5,701+,1.1,701+,14,611,14.5,617=,-
801-850,751-800,Université de Sherbrooke,CA,Canada,L,FC,HI,4,A,6.9,601+,6.8,601+,19.9,671,20.1,557,56.2,331,8.4,701+,3.2,701+,14.3,592,7.5,701+,-
801-850,801-1000,Universiti Tunku Abdul Rahman (UTAR),MY,Malaysia,L,FC,HI,2,B,12.9,601+,36.4,269,11.1,701+,5.1,701+,8.4,701+,3.3,701+,2.1,701+,9.7,701+,30.7,438=,-
801-850,751-800,University Duesseldorf,DE,Germany,XL,FC,HI,4,A,12.9,601+,7.6,601+,41.1,382,7.5,701+,,,15.7,604,30.9,454,9.5,701+,1.7,701+,-
801-850,801-1000,University of Alicante,ES,Spain,L,FC,VH,3,A,13.4,601+,6.2,601+,22.9,620,8.0,701+,4.6,701+,14.0,640,41.8,365,5.5,701+,29.9,449=,-
801-850,531-540,University of Balamand,LB,Lebanon,S,CO,HI,3,B,4.9,601+,13.0,601+,83.8,115,2.0,701+,12.6,701+,21.8,520,1.0,701+,8.2,701+,1,701+,-
801-850,801-1000,University of Calcutta,IN,India,L,CO,VH,5,A,15.7,557,4.3,601+,5.6,701+,20.3,554,25.9,524,1.1,701+,3.2,701+,38.8,186,1.9,701+,-
801-850,801-1000,University of Dubai,AE,United Arab Emirates,S,SP,,3,B,4.2,601+,4.5,601+,13.0,701+,10.0,701+,100.0,7,64.5,232,1.0,701+,17.3,484,1,701+,-
801-850,751-800,University of Hyderabad,IN,India,M,FC,HI,3,A,11.9,601+,2.8,601+,16.3,701+,37.9,372,2.0,701+,2.0,701+,1.4,701+,7.8,701+,1.3,701+,-
801-850,1001-1200,University of Latvia,LV,Latvia,L,FC,HI,5,A,12.5,601+,17.8,495,5.1,701+,6.1,701+,12.5,701+,5.3,701+,21.5,531,59.8,102,13.7,627=,-
801-850,581-590,University of Massachusetts Boston,US,United States,L,FO,VH,5,A,11.9,601+,4.9,601+,11.5,701+,27.5,458,5.9,701+,9.6,701+,2.3,701+,7.6,701+,40.2,362=,-
801-850,701-750,University of Pecs,HU,Hungary,L,FC,HI,5,A,13.2,601+,8.8,601+,38.1,414,2.7,701+,9.1,701+,62.4,240,4.8,701+,9.6,701+,3,701+,-
801-850,1001-1200,University of Salerno,IT,Italy,L,FC,VH,4,A,7.9,601+,2.1,601+,4.8,701+,31.9,421,3.4,701+,1.8,701+,64.8,217,5.4,701+,7.6,701+,-
801-850,801-1000,University of Santo Tomas,PH,Philippines,L,FC,MD,5,B,11.5,601+,33.5,293,15.7,701+,1.3,701+,41.4,401,8.2,701+,1.0,701+,12.5,697,1.1,701+,-
801-850,801-1000,Verona University,IT,Italy,L,FC,HI,3,A,8.7,601+,2.9,601+,4.8,701+,40.0,345,4.7,701+,3.6,701+,32.0,448,6.9,701+,14.7,616,-
801-850,701-750,Vilnius Gediminas Technical University,LT,Lithuania,M,SP,,4,A,9.0,601+,16.7,516,40.9,385,7.3,701+,15.8,655,38.8,355,4.7,701+,11.5,701+,1.9,701+,-
801-850,801-1000,Vytautas Magnus University,LT,Lithuania,M,FO,VH,5,A,11.0,601+,20.6,449,38.5,410,2.1,701+,15.1,666,40.2,341,2.4,701+,11.4,701+,1.6,701+,-
801-850,501-510,Yokohama City University,JP,Japan,M,FO,VH,4,A,3.3,601+,2.6,601+,97.7,49,10.3,701+,4.1,701+,2.4,701+,1.1,701+,8.5,701+,1,701+,-
801-850,651-700,Karaganda State Technical University,KZ,Kazakhstan,M,FO,HI,4,A,8.4,601+,6.8,601+,80.6,138,1.1,701+,8.2,701+,18.4,569,1.0,701+,12.1,701+,2.1,701+,-
851-900,,Addis Ababa University,ET,Ethiopia,XL,CO,HI,,,5.6,601+,10.8,601+,61.1,231,1.7,701+,,,,,14.3,608,54.7,114,,,-
851-900,801-1000,Beijing University of Posts and Telecommunications,CN,China (Mainland),L,CO,VH,3,A,3.9,601+,2.2,601+,10.0,701+,49.2,271,5.0,701+,1.8,701+,1.1,701+,10.4,701+,1.2,701+,-
851-900,801-1000,Catania University,IT,Italy,L,FC,VH,5,A,11.7,601+,3.1,601+,4.8,701+,27.4,459,2.8,701+,2.6,701+,30.4,456,6.1,701+,25.1,489,-
851-900,751-800,Chonnam National University,KR,South Korea,L,FC,VH,4,A,11.7,601+,5.0,601+,44.0,357,14.3,652,11.4,701+,6.5,701+,1.7,701+,6,701+,4,701+,-
851-900,751-800,Chungnam National University,KR,South Korea,L,FC,VH,4,A,11.7,601+,8.0,601+,45.3,348,10.6,701+,8.2,701+,10.7,701+,1.6,701+,8,701+,2.1,701+,-
851-900,801-1000,Clemson University,US,United States,L,CO,VH,5,A,8.3,601+,10.8,601+,12.9,701+,16.7,606,8.3,701+,4.5,701+,36.4,408,11.1,701+,32.1,423,-
851-900,751-800,CY Cergy Paris University,FR,France,M,FO,VH,1,A,3.4,601+,2.7,601+,41.9,376,6.5,701+,54.3,340,45.1,321,8.1,701+,7.4,701+,9.6,678=,-
851-900,801-1000,Gdańsk University of Technology,PL,Poland,M,FO,VH,5,A,9.2,601+,14.4,566,36.3,437,11.8,701+,3.3,701+,7.1,701+,11.8,638,8.6,701+,14.9,614=,-
851-900,801-1000,Georgia State University,US,United States,XL,CO,VH,4,A,11.7,601+,13.6,594,4.9,701+,20.3,556,10.5,701+,7.4,701+,17.0,573,16.1,519,11.8,644=,-
851-900,801-1000,Gulf University for Science and Technology,KW,Kuwait,S,FO,HI,2,C,10.7,601+,7.3,601+,9.3,701+,4.3,701+,100.0,15,23.3,497,1.0,701+,14,610,1.9,701+,-
851-900,1001-1200,Huazhong Agricultural University,CN,China (Mainland),XL,CO,VH,4,A,4.1,601+,1.8,601+,6.3,701+,48.7,278,4.0,701+,1.6,701+,2.8,701+,5.9,701+,4,701+,-
851-900,601-650,Kanazawa University,JP,Japan,M,FC,VH,4,A,9.3,601+,4.4,601+,60.8,232,12.1,696,9.2,701+,5.8,701+,2.4,701+,7.9,701+,1.4,701+,-
851-900,801-1000,Kansas State University ,US,United States,L,CO,VH,5,A,8.9,601+,8.0,601+,12.0,701+,20.0,558,24.0,547,5.2,701+,19.0,550,13,660,26.1,485=,-
851-900,801-1000,Karaganda Buketov University,KZ,Kazakhstan,L,FO,HI,4,B,13.7,601+,19.9,457,32.4,491,1.2,701+,22.2,571,7.3,701+,1.0,701+,11.9,701+,1,701+,-
851-900,801-1000,King Faisal University,SA,Saudi Arabia,L,FO,VH,3,A,15.0,585,8.6,601+,11.4,701+,2.4,701+,99.2,95,2.0,701+,3.1,701+,7.5,701+,1.1,701+,-
851-900,1001-1200,Kuwait University,KW,Kuwait,XL,FC,MD,4,A,13.6,601+,8.3,601+,6.4,701+,2.2,701+,30.4,487,21.0,534,10.9,654,51.3,128,18.8,555=,-
851-900,801-1000,Kyrgyz-Turkish Manas University,KG,Kyrgyzstan,S,CO,HI,3,A,13.0,601+,7.3,601+,12.2,701+,1.6,701+,85.3,206,24.7,478,1.0,701+,14.5,578,,,-
851-900,801-1000,London South Bank University,UK,United Kingdom,L,CO,HI,3,A,3.5,601+,2.9,601+,8.3,701+,5.6,701+,78.2,237,95.9,83,2.3,701+,11.1,701+,1.1,701+,-
851-900,751-800,Michigan Technological University,US,United States,M,CO,VH,5,A,4.4,601+,4.2,601+,26.0,568,32.1,420,19.6,593,9.4,701+,8.3,701+,8.6,701+,3.2,701+,-
851-900,551-560,National Research Saratov State University,RU,Russia,M,CO,VH,5,A,5.2,601+,2.5,601+,95.8,58,1.7,701+,3.2,701+,18.2,572,1.2,701+,4.7,701+,1,701+,-
851-900,561-570,Niigata University,JP,Japan,L,FC,HI,4,A,4.9,601+,3.3,601+,88.1,93,4.6,701+,4.2,701+,3.3,701+,1.2,701+,9.2,701+,3,701+,-
851-900,1001-1200,North South University,BD,Bangladesh,L,CO,HI,3,B,12.1,601+,48.4,180,5.6,701+,2.3,701+,12.2,701+,2.4,701+,1.1,701+,13.3,645,1.1,701+,-
851-900,801-1000,Oklahoma State University ,US,United States,L,FC,HI,5,A,8.4,601+,9.7,601+,10.7,701+,15.1,630,37.3,432,4.3,701+,23.4,513,16.6,512,20.9,536=,-
851-900,701-750,Pavol Jozef Šafárik University in Košice,SK,Slovakia,M,FC,HI,4,A,5.1,601+,3.6,601+,55.5,270,3.6,701+,2.0,701+,63.8,236,3.3,701+,13,663,1.3,701+,-
851-900,801-1000,"Queen Margaret University , Edinburgh",UK,United Kingdom,S,FO,VH,2,A,3.8,601+,4.0,601+,5.3,701+,17.0,601,61.2,312,76.0,181,1.0,701+,8.7,701+,1,701+,-
851-900,801-1000,Ryerson University,CA,Canada,XL,CO,VH,4,A,7.0,601+,14.4,565,1.7,701+,30.7,431,,,3.6,701+,14.6,600,12.7,683,8,701+,-
851-900,541-550,Southern Federal University,RU,Russia,L,CO,VH,5,A,7.6,601+,3.6,601+,77.8,146,1.8,701+,3.5,701+,23.1,499,5.1,701+,6.6,701+,11.7,647=,-
851-900,801-1000,Technological University Dublin,IE,Ireland,L,CO,HI,1,A,12.1,601+,12.4,601+,12.6,701+,3.1,701+,32.7,470,39.6,346,5.0,701+,13.1,653,16.9,581=,-
851-900,801-1000,TU Dortmund University,DE,Germany,L,CO,VH,4,A,13.6,601+,13.8,589,22.2,626,7.4,701+,20.2,589,19.1,559,17.0,574,9.1,701+,4.4,701+,-
851-900,701-750,Universidad Católica del Uruguay (UCU),UY,Uruguay,S,CO,MD,3,B,12.2,601+,12.4,601+,57.0,255,1.2,701+,8.7,701+,2.6,701+,1.0,701+,13.1,655,1.2,701+,-
851-900,531-540,"Universidad Central ""Marta Abreu"" de Las Villas",CU,Cuba,M,CO,MD,4,A,5.7,601+,1.1,601+,99.9,23,1.2,701+,1.1,701+,1.3,701+,1.1,701+,14.6,572,1,701+,-
851-900,801-1000,Universidad de Guadalajara (UDG),MX,Mexico,XL,FC,HI,5,A,20.3,432,9.2,601+,19.6,677,1.3,701+,2.4,701+,1.1,701+,7.5,701+,8.5,701+,37.8,379=,-
851-900,801-1000,Universidad Torcuato Di Tella,AR,Argentina,S,SP,,3,B,11.9,601+,25.4,376,17.9,701+,3.2,701+,34.5,460,8.2,701+,1.0,701+,17.1,496,1,701+,-
851-900,801-1000,Universita' degli Studi di Ferrara,IT,Italy,L,FC,HI,5,A,6.5,601+,2.4,601+,2.4,701+,38.6,360,2.5,701+,3.5,701+,26.8,484,8.4,701+,17.8,571=,-
851-900,1001-1200,University of Bucharest,RO,Romania,XL,FO,VH,5,A,15.5,564,13.8,586,6.5,701+,4.2,701+,2.8,701+,1.9,701+,28.7,465,34.7,222,27.8,469=,-
851-900,801-1000,University of East London,UK,United Kingdom,L,CO,HI,3,A,3.6,601+,3.5,601+,3.5,701+,6.7,701+,74.2,258,100.0,31,2.1,701+,12,701+,1.1,701+,-
851-900,801-1000,University of Hertfordshire,UK,United Kingdom,L,CO,HI,3,A,4.7,601+,4.8,601+,6.4,701+,5.6,701+,63.4,305,99.5,42,11.2,647,12,701+,2.7,701+,-
851-900,801-1000,University of Lincoln,UK,United Kingdom,L,CO,HI,3,A,6.1,601+,5.1,601+,9.1,701+,11.3,701+,64.6,298,30.1,421,9.6,679,8.9,701+,37.5,382=,-
